Date,Description,Debit,Credit,Balance
2024-11-01,Salary Deposit,,2600.00,2600.00
2024-11-02,Tesco Supermarket,74.20,,2525.80
2024-11-03,Netflix Subscription,15.99,,2509.81
2024-11-05,Shell Petrol Station,58.40,,2451.41
2024-11-08,Spotify Subscription,11.99,,2439.42
2024-11-10,Costa Coffee,3.60,,2435.82
2024-11-12,Amazon Purchase,39.99,,2395.83
2024-11-15,Gym Membership,40.00,,2355.83
2024-11-18,Sainsbury's Grocery,52.30,,2303.53
2024-11-20,Electricity Bill,88.00,,2215.53
2024-11-22,Freelance Payment,,420.00,2635.53
2024-11-25,Restaurant Bill,64.50,,2571.03
2024-11-28,Uber Ride,12.80,,2558.23
2024-11-30,Interest,,1.15,2559.38
